,all onion,all onion_half1,all onion_half2,ebay,ebay_half1,ebay_half2,illegal,illegal_half1,illegal_half2,legal,legal_half1,legal_half2
all onion,,"(0.22925893261969818, 0.3435734019602262)","(0.24857837702612237, 0.38164862275013045)","(0.6000257663182643, 1.313583970426252)","(0.6134328156348287, 1.345962659699954)","(0.6149409001359675, 1.3524156365514335)","(0.325700884179007, 0.6244028607863357)","(0.38742944449730543, 0.7681144345601317)","(0.4078141305550141, 0.8084909140040016)","(0.3460111162057864, 0.6548817848550721)","(0.41480045758685863, 0.8210048258233735)","(0.4183960831251138, 0.8197192873459989)"
all onion_half1,"(0.22925893261969818, 0.3435734019602262)",,"(0.4322680401480048, 0.7252220247102986)","(0.604511538967152, 1.3160830178179868)","(0.617467503613979, 1.3470728407178776)","(0.6177414616634118, 1.353267778713964)","(0.36552810163452965, 0.6283122957555034)","(0.3279133113904577, 0.6269747072438597)","(0.49618486076982604, 0.9609838777501548)","(0.39964907942146843, 0.6959589588936339)","(0.36414716595872787, 0.7025458088018163)","(0.5164625725245306, 0.996096018693502)"
all onion_half2,"(0.24857837702612237, 0.38164862275013045)","(0.4322680401480048, 0.7252220247102986)",,"(0.6102248026516112, 1.3358247156748437)","(0.62121681055831, 1.3626349646270481)","(0.6227871905745298, 1.366978581297853)","(0.3889674309165894, 0.6881955872645157)","(0.49500998833360244, 0.9590902949964715)","(0.3496369662115064, 0.6722040955256136)","(0.3917863227076708, 0.6674602718870181)","(0.5111882535667951, 0.9924145690066262)","(0.3504019994693173, 0.6551479122671486)"
ebay,"(0.6000257663182643, 1.313583970426252)","(0.604511538967152, 1.3160830178179868)","(0.6102248026516112, 1.3358247156748437)",,"(0.22573774675289968, 0.3596710912518485)","(0.24669689818317386, 0.3852872669641891)","(0.5887774077877497, 1.2810786539799703)","(0.5972557474774177, 1.299173034698504)","(0.6014506337648325, 1.3183096911584578)","(0.6608921700277663, 1.4613366856373358)","(0.667216150526044, 1.4767349742525568)","(0.6702328264948689, 1.4911925330980207)"
ebay_half1,"(0.6134328156348287, 1.345962659699954)","(0.617467503613979, 1.3470728407178776)","(0.62121681055831, 1.3626349646270481)","(0.22573774675289968, 0.3596710912518485)",,"(0.4286005901560191, 0.7449583582160223)","(0.6041720006530336, 1.3205846111408805)","(0.6122226433487976, 1.3334689485781024)","(0.6135232331090241, 1.3414657267176662)","(0.6669723614030512, 1.4794512698189843)","(0.6724357263820868, 1.4849432103786298)","(0.6752892710976016, 1.5004199385831576)"
ebay_half2,"(0.6149409001359675, 1.3524156365514335)","(0.6177414616634118, 1.353267778713964)","(0.6227871905745298, 1.366978581297853)","(0.24669689818317386, 0.3852872669641891)","(0.4286005901560191, 0.7449583582160223)",,"(0.5991245422208243, 1.3043461888516086)","(0.6052837279698354, 1.3173724835164136)","(0.6092043270534732, 1.3224113523016008)","(0.6720888994213144, 1.4890677255678881)","(0.6767329521319283, 1.4950732410205196)","(0.6791699843817646, 1.503861320236303)"
illegal,"(0.325700884179007, 0.6244028607863357)","(0.36552810163452965, 0.6283122957555034)","(0.3889674309165894, 0.6881955872645157)","(0.5887774077877497, 1.2810786539799703)","(0.6041720006530336, 1.3205846111408805)","(0.5991245422208243, 1.3043461888516086)",,"(0.23325778817064455, 0.3522337659769448)","(0.26820864074973044, 0.4188914576485585)","(0.6086764658819568, 1.2792846456414564)","(0.6190020900147785, 1.3144785163575552)","(0.6194374336046299, 1.3065367680139128)"
illegal_half1,"(0.38742944449730543, 0.7681144345601317)","(0.3279133113904577, 0.6269747072438597)","(0.49500998833360244, 0.9590902949964715)","(0.5972557474774177, 1.299173034698504)","(0.6122226433487976, 1.3334689485781024)","(0.6052837279698354, 1.3173724835164136)","(0.23325778817064455, 0.3522337659769448)",,"(0.45325185844790367, 0.7711252236254581)","(0.6166461066358235, 1.307211673232633)","(0.6261889301097711, 1.3295205160456591)","(0.6246195669934511, 1.321591946303082)"
illegal_half2,"(0.4078141305550141, 0.8084909140040016)","(0.49618486076982604, 0.9609838777501548)","(0.3496369662115064, 0.6722040955256136)","(0.6014506337648325, 1.3183096911584578)","(0.6135232331090241, 1.3414657267176662)","(0.6092043270534732, 1.3224113523016008)","(0.26820864074973044, 0.4188914576485585)","(0.45325185844790367, 0.7711252236254581)",,"(0.6219066360503631, 1.3138236523168056)","(0.6285817761745074, 1.3348892178528313)","(0.6319879411158251, 1.3273520077927137)"
legal,"(0.3460111162057864, 0.6548817848550721)","(0.39964907942146843, 0.6959589588936339)","(0.3917863227076708, 0.6674602718870181)","(0.6608921700277663, 1.4613366856373358)","(0.6669723614030512, 1.4794512698189843)","(0.6720888994213144, 1.4890677255678881)","(0.6086764658819568, 1.2792846456414564)","(0.6166461066358235, 1.307211673232633)","(0.6219066360503631, 1.3138236523168056)",,"(0.2552840947085133, 0.40294599168960155)","(0.26186369960347533, 0.4168030988226587)"
legal_half1,"(0.41480045758685863, 0.8210048258233735)","(0.36414716595872787, 0.7025458088018163)","(0.5111882535667951, 0.9924145690066262)","(0.667216150526044, 1.4767349742525568)","(0.6724357263820868, 1.4849432103786298)","(0.6767329521319283, 1.4950732410205196)","(0.6190020900147785, 1.3144785163575552)","(0.6261889301097711, 1.3295205160456591)","(0.6285817761745074, 1.3348892178528313)","(0.2552840947085133, 0.40294599168960155)",,"(0.4675354188821579, 0.8197490905122552)"
legal_half2,"(0.4183960831251138, 0.8197192873459989)","(0.5164625725245306, 0.996096018693502)","(0.3504019994693173, 0.6551479122671486)","(0.6702328264948689, 1.4911925330980207)","(0.6752892710976016, 1.5004199385831576)","(0.6791699843817646, 1.503861320236303)","(0.6194374336046299, 1.3065367680139128)","(0.6246195669934511, 1.321591946303082)","(0.6319879411158251, 1.3273520077927137)","(0.26186369960347533, 0.4168030988226587)","(0.4675354188821579, 0.8197490905122552)",
