,all onion,all onion_half1,all onion_half2,ebay,ebay_half1,ebay_half2,illegal,illegal_half1,illegal_half2,legal,legal_half1,legal_half2
all onion,,"0.23, 0.34","0.25, 0.38","0.60, 1.31","0.61, 1.35","0.61, 1.35","0.33, 0.62","0.39, 0.77","0.41, 0.81","0.35, 0.65","0.41, 0.82","0.42, 0.82"
all onion_half1,"0.23, 0.34",,"0.43, 0.73","0.60, 1.32","0.62, 1.35","0.62, 1.35","0.37, 0.63","0.33, 0.63","0.50, 0.96","0.40, 0.70","0.36, 0.70","0.52, 1.00"
all onion_half2,"0.25, 0.38","0.43, 0.73",,"0.61, 1.34","0.62, 1.36","0.62, 1.37","0.39, 0.69","0.50, 0.96","0.35, 0.67","0.39, 0.67","0.51, 0.99","0.35, 0.66"
ebay,"0.60, 1.31","0.60, 1.32","0.61, 1.34",,"0.23, 0.36","0.25, 0.39","0.59, 1.28","0.60, 1.30","0.60, 1.32","0.66, 1.46","0.67, 1.48","0.67, 1.49"
ebay_half1,"0.61, 1.35","0.62, 1.35","0.62, 1.36","0.23, 0.36",,"0.43, 0.74","0.60, 1.32","0.61, 1.33","0.61, 1.34","0.67, 1.48","0.67, 1.48","0.68, 1.50"
ebay_half2,"0.61, 1.35","0.62, 1.35","0.62, 1.37","0.25, 0.39","0.43, 0.74",,"0.60, 1.30","0.61, 1.32","0.61, 1.32","0.67, 1.49","0.68, 1.50","0.68, 1.50"
illegal,"0.33, 0.62","0.37, 0.63","0.39, 0.69","0.59, 1.28","0.60, 1.32","0.60, 1.30",,"0.23, 0.35","0.27, 0.42","0.61, 1.28","0.62, 1.31","0.62, 1.31"
illegal_half1,"0.39, 0.77","0.33, 0.63","0.50, 0.96","0.60, 1.30","0.61, 1.33","0.61, 1.32","0.23, 0.35",,"0.45, 0.77","0.62, 1.31","0.63, 1.33","0.62, 1.32"
illegal_half2,"0.41, 0.81","0.50, 0.96","0.35, 0.67","0.60, 1.32","0.61, 1.34","0.61, 1.32","0.27, 0.42","0.45, 0.77",,"0.62, 1.31","0.63, 1.33","0.63, 1.33"
legal,"0.35, 0.65","0.40, 0.70","0.39, 0.67","0.66, 1.46","0.67, 1.48","0.67, 1.49","0.61, 1.28","0.62, 1.31","0.62, 1.31",,"0.26, 0.40","0.26, 0.42"
legal_half1,"0.41, 0.82","0.36, 0.70","0.51, 0.99","0.67, 1.48","0.67, 1.48","0.68, 1.50","0.62, 1.31","0.63, 1.33","0.63, 1.33","0.26, 0.40",,"0.47, 0.82"
legal_half2,"0.42, 0.82","0.52, 1.00","0.35, 0.66","0.67, 1.49","0.68, 1.50","0.68, 1.50","0.62, 1.31","0.62, 1.32","0.63, 1.33","0.26, 0.42","0.47, 0.82",
